subject_id,ability,release_time
20231010_rag_claude2,-4.440176963806152,
20231010_rag_gpt35,-6.564263343811035,
20231010_rag_swellama13b,-5.6389031410217285,
20231010_rag_swellama7b,-5.628698825836182,
20240402_rag_claude3opus,-3.927148342132568,
20240402_rag_gpt4,-4.973076343536377,
20240509_amazon-q-developer-agent-20240430-dev,-2.1637113094329834,
20240612_MASAI_gpt4o,-1.6686532497406006,
20240615_appmap-navie_gpt4o,-2.1589200496673584,
20240617_factory_code_droid,-1.3519296646118164,
20240620_sweagent_claude3.5sonnet,-1.5237208604812622,
20240628_autocoderover-v20240620,-1.2388052940368652,
20240721_amazon-q-developer-agent-20240719-dev,-1.2405436038970947,
20240728_sweagent_gpt4o,-2.311434268951416,
20240820_epam-ai-run-gpt-4o,-2.2794878482818604,
20240820_honeycomb,-1.1278210878372192,
20240824_gru,-0.8343793749809265,
20240918_lingma-agent_lingma-swe-gpt-72b,-2.104090690612793,
20240918_lingma-agent_lingma-swe-gpt-7b,-3.4631175994873047,
20240920_solver,-0.8561093807220459,
20240924_solver,-0.8357123136520386,
20241001_nfactorial,-2.0977582931518555,
20241002_lingma-agent_lingma-swe-gpt-72b,-1.963600516319275,
20241002_lingma-agent_lingma-swe-gpt-7b,-2.6711018085479736,
20241007_nfactorial,-1.61836040019989,
20241016_composio_swekit,-1.126927137374878,
20241022_tools_claude-3-5-haiku,-1.0819708108901978,
20241022_tools_claude-3-5-sonnet-updated,-0.3888749480247497,
20241023_emergent,-0.7358247637748718,
20241025_composio_swekit,-0.4774788618087768,
20241028_solver,-0.3657198250293731,
20241029_epam-ai-run-claude-3-5-sonnet,-1.2835997343063354,
20241030_nfactorial,-1.013097047805786,
20241105_nfactorial,-0.4964311420917511,
20241106_navie-2-gpt4o-sonnet,-0.625083863735199,
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.7484553456306458,
20241108_devlo,-0.2092101424932479,
20241113_nebius-search-open-weight-models-11-24,-1.1503527164459229,
20241120_artemis_agent,-1.614273190498352,
20241125_enginelabs,-0.295707106590271,
20241125_marscode-agent-dev,-0.376644879579544,
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-1.75811505317688,
20241202_agentless-1.5_claude-3.5-sonnet-20241022,-0.4761342406272888,
20241202_amazon-q-developer-agent-20241202-dev,-0.0841516628861427,
20241208_gru,0.0089623546227812,
20241212_epam-ai-run-claude-3-5-sonnet,-0.0545770302414894,
20241212_google_jules_gemini_2.0_flash_experimental,-0.2631084620952606,
20241213_devlo,0.2046544551849365,
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.4655307233333587,
20241223_emergent,0.0390359535813331,
20250110_blackboxai_agent_v1.1,0.6203444600105286,
20250110_learn_by_interact_claude3.5,0.2318620085716247,
20250112_ugaiforge,-1.1831247806549072,
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.9679446220397948,
20250120_Bracket,-0.1233045160770416,
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,-0.2669892013072967,
20250203_openhands_4x_scaled,0.3911606073379516,
20250206_agentscope,0.5889268517494202,
20250224_tools_claude-3-7-sonnet,0.9416868090629578,
20250225_sweagent_claude-3-7-sonnet,0.637230396270752,
20250226_swerl_llama3_70b,-1.0527656078338623,
20250228_epam-ai-run-claude-3-5-sonnet,0.5677741169929504,
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-1.666199803352356,
20250316_augment_agent_v0,0.8527193069458008,
20250405_amazon-q-developer-agent-20250405-dev,0.8920230865478516,
20250405_swe-rizzo_claude37,0.2808634340763092,
20250410_cortexa,0.0965489000082016,
20250430_zencoder_ai,1.3439552783966064,
20250511_sweagent_lm_32b,-1.1145479679107666,
20250514_aime_coder,1.0566487312316897,
20250515_Refact_Agent,1.4897249937057495,
20250516_cortexa_o3,1.2365857362747192,
20250519_devlo,1.482641100883484,
20250519_trae,1.533397912979126,
20250520_openhands_devstral_small,-0.6602401733398438,
20250522_sweagent_claude-4-sonnet-20250514,1.17815101146698,
20250522_tools_claude-4-opus,1.9440109729766848,
20250522_tools_claude-4-sonnet,1.9247667789459229,
20250524_openhands_claude_4_sonnet,1.4736456871032717,
20250527_amazon.nova-premier-v1.0,-1.0071816444396973,
20250528_patchpilot_Co-PatcheR,-0.5759803652763367,
20250603_Refact_Agent_claude-4-sonnet,1.9264235496521,
20250610_augment_agent_v1,1.53888201713562,
20250611_moatless_claude-4-sonnet-20250514,1.6138983964920044,
20250612_trae,2.19107723236084,
20250616_Skywork-SWE-32B,-1.2495290040969849,
20250616_Skywork-SWE-32B+TTS_Bo8,-0.6743922829627991,
20250623_warp,1.673880934715271,
20250627_agentless_MCTS-Refine-7B,-2.342757225036621,
20250629_deepswerl_r2eagent,-0.7446430325508118,
20250629_deepswerl_r2eagent_tts,0.2667774558067322,
